127.0.0.1 - - [15/Dec/2021:19:25:34 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:25:35 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:25:47 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:25:47 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:25:53 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:26:04 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:26:12 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:26:16 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:26:31 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:26:35 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:27:39 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [15/Dec/2021:19:27:44 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 136
